time_stamp,value_real
2016-10-18 00:25:10,3895.859107
2016-10-18 00:25:20,47.66323
2016-10-18 00:25:30,3882.439863
2016-10-18 00:25:40,47.714777
2016-10-18 00:25:50,3894.690722
2016-10-18 00:26:00,47.972509
2016-10-18 00:26:10,3889.5189
2016-10-18 00:26:20,47.869416
2016-10-18 00:26:30,3887.972509
2016-10-18 00:26:40,47.886598
2016-10-18 00:26:50,3893.814433
2016-10-18 00:27:00,34.347079
2016-10-18 00:27:10,3872.130584
2016-10-18 00:27:20,46.546392
2016-10-18 00:27:30,3898.934708
2016-10-18 00:27:40,47.474227
2016-10-18 00:27:50,3898.024055
2016-10-18 00:28:00,46.512027
2016-10-18 00:28:10,3902.388316
2016-10-18 00:28:20,46.305842
2016-10-18 00:28:30,3900.824742
2016-10-18 00:28:40,47.972509
2016-10-18 00:28:50,3883.281787
2016-10-18 00:29:00,47.938144
2016-10-18 00:29:10,3892.405498
2016-10-18 00:29:20,49.862543
2016-10-18 00:29:30,3882.33677
2016-10-18 00:29:40,47.113402
2016-10-18 00:29:50,3893.522337
2016-10-18 00:30:00,46.924399
2016-10-18 00:30:10,3880.532646
2016-10-18 00:30:20,47.371134
2016-10-18 00:30:30,3885.859107
2016-10-18 00:30:40,48.006873
2016-10-18 00:30:50,3881.512027
2016-10-18 00:31:00,47.491409
2016-10-18 00:31:10,3885.24055
2016-10-18 00:31:20,47.474227
2016-10-18 00:31:30,3900.584192
2016-10-18 00:31:40,47.079038
2016-10-18 00:31:50,3911.185567
2016-10-18 00:32:00,47.869416
2016-10-18 00:32:10,3917.800687
2016-10-18 00:32:20,48.780069
2016-10-18 00:32:30,3887.233677
2016-10-18 00:32:40,46.546392
2016-10-18 00:32:50,3870.927835
2016-10-18 00:33:00,47.474227
2016-10-18 00:33:10,3871.958763
2016-10-18 00:33:20,47.130584
2016-10-18 00:33:31,3893.934708
2016-10-18 00:33:40,47.405498
2016-10-18 00:33:51,3905.223368
2016-10-18 00:34:00,47.010309
2016-10-18 00:34:11,3862.920962
2016-10-18 00:34:20,49.261168
2016-10-18 00:34:31,3896.099656
2016-10-18 00:34:40,47.182131
2016-10-18 00:34:51,3885.824742
2016-10-18 00:35:00,47.474227
2016-10-18 00:35:11,3898.573883
2016-10-18 00:35:20,46.632302
2016-10-18 00:35:31,3881.013746
2016-10-18 00:35:40,48.694158
2016-10-18 00:35:51,3888.831615
2016-10-18 00:36:00,47.130584
2016-10-18 00:36:11,3910.498282
2016-10-18 00:36:20,49.329897
2016-10-18 00:36:31,3893.075601
2016-10-18 00:36:40,47.42268
2016-10-18 00:36:51,3893.487973
2016-10-18 00:37:00,47.09622
2016-10-18 00:37:11,3885.56701
2016-10-18 00:37:21,47.027491
2016-10-18 00:37:31,3877.594502
2016-10-18 00:37:41,47.457045
2016-10-18 00:37:51,3864.604811
2016-10-18 00:38:01,48.780069
2016-10-18 00:38:11,3891.958763
2016-10-18 00:38:21,46.941581
2016-10-18 00:38:31,3867.302405
2016-10-18 00:38:41,49.123711
2016-10-18 00:38:51,3894.810997
2016-10-18 00:39:01,47.766323
2016-10-18 00:39:11,3883.831615
2016-10-18 00:39:21,46.219931
2016-10-18 00:39:31,3889.965636
2016-10-18 00:39:41,46.632302
2016-10-18 00:39:51,3902.680412
2016-10-18 00:40:01,46.202749
2016-10-18 00:40:11,3893.316151
2016-10-18 00:40:21,47.646048
2016-10-18 00:40:31,3867.130584
2016-10-18 00:40:41,46.975945
2016-10-18 00:40:51,3876.512027
2016-10-18 00:41:01,49.020619
2016-10-18 00:41:11,3909.587629
2016-10-18 00:41:21,46.237113
2016-10-18 00:41:31,3910.893471
2016-10-18 00:41:41,48.281787
2016-10-18 00:41:51,3892.57732
2016-10-18 00:42:01,49.364261
2016-10-18 00:42:11,3875.927835
2016-10-18 00:42:21,47.680412
2016-10-18 00:42:31,3910.80756
2016-10-18 00:42:41,47.920962
2016-10-18 00:42:51,3904.123711
2016-10-18 00:43:01,48.883162
2016-10-18 00:43:11,3882.474227
2016-10-18 00:43:21,47.560137
2016-10-18 00:43:31,3886.477663
2016-10-18 00:43:41,47.955326
2016-10-18 00:43:51,3875.412371
2016-10-18 00:44:01,49.226804
2016-10-18 00:44:11,3892.388316
2016-10-18 00:44:21,47.027491
2016-10-18 00:44:31,3866.408935
2016-10-18 00:44:41,47.405498
2016-10-18 00:44:51,3897.285223
2016-10-18 00:45:01,46.151203
2016-10-18 00:45:11,3919.982818
2016-10-18 00:45:21,47.405498
2016-10-18 00:45:31,3899.347079
2016-10-18 00:45:41,46.649485
2016-10-18 00:45:51,3890.154639
2016-10-18 00:46:01,47.164948
2016-10-18 00:46:11,3901.219931
2016-10-18 00:46:21,47.439863
2016-10-18 00:46:31,3873.848797
2016-10-18 00:46:41,49.467354
2016-10-18 00:46:51,3884.604811
