time_stamp,value_int
2016-10-18 00:00:08,26
2016-10-18 00:00:18,26
2016-10-18 00:00:28,27
2016-10-18 00:00:38,26
2016-10-18 00:00:48,26
2016-10-18 00:00:58,26
2016-10-18 00:01:08,26
2016-10-18 00:01:18,26
2016-10-18 00:01:29,26
2016-10-18 00:01:38,26
2016-10-18 00:01:49,26
2016-10-18 00:01:58,26
2016-10-18 00:02:09,26
2016-10-18 00:02:18,26
2016-10-18 00:02:29,26
2016-10-18 00:02:38,26
2016-10-18 00:02:49,27
2016-10-18 00:02:58,27
2016-10-18 00:03:09,26
2016-10-18 00:03:18,26
2016-10-18 00:03:29,26
2016-10-18 00:03:38,26
2016-10-18 00:03:49,26
2016-10-18 00:03:58,26
2016-10-18 00:04:09,26
2016-10-18 00:04:18,26
2016-10-18 00:04:29,27
2016-10-18 00:04:38,26
2016-10-18 00:04:49,26
2016-10-18 00:04:59,26
2016-10-18 00:05:09,26
2016-10-18 00:05:19,26
2016-10-18 00:05:29,25
2016-10-18 00:05:39,26
2016-10-18 00:05:49,26
2016-10-18 00:05:59,26
2016-10-18 00:06:09,26
2016-10-18 00:06:19,26
2016-10-18 00:06:29,26
2016-10-18 00:06:39,26
2016-10-18 00:06:49,26
2016-10-18 00:06:59,26
2016-10-18 00:07:09,26
2016-10-18 00:07:19,26
2016-10-18 00:07:29,26
2016-10-18 00:07:39,26
2016-10-18 00:07:49,26
2016-10-18 00:07:59,26
2016-10-18 00:08:09,26
2016-10-18 00:08:19,26
2016-10-18 00:08:29,26
2016-10-18 00:08:39,26
2016-10-18 00:08:49,25
2016-10-18 00:08:59,26
2016-10-18 00:09:09,25
2016-10-18 00:09:19,26
2016-10-18 00:09:29,26
2016-10-18 00:09:39,26
2016-10-18 00:09:49,26
2016-10-18 00:09:59,26
2016-10-18 00:10:09,26
2016-10-18 00:10:19,26
2016-10-18 00:10:29,26
2016-10-18 00:10:39,26
2016-10-18 00:10:49,26
2016-10-18 00:10:59,26
2016-10-18 00:11:09,26
2016-10-18 00:11:19,26
2016-10-18 00:11:29,26
2016-10-18 00:11:39,27
2016-10-18 00:11:49,26
2016-10-18 00:11:59,26
2016-10-18 00:12:09,26
2016-10-18 00:12:19,26
2016-10-18 00:12:29,26
2016-10-18 00:12:39,26
2016-10-18 00:12:49,26
2016-10-18 00:12:59,26
2016-10-18 00:13:09,25
2016-10-18 00:13:19,26
2016-10-18 00:13:29,26
2016-10-18 00:13:39,26
2016-10-18 00:13:49,26
2016-10-18 00:13:59,26
2016-10-18 00:14:09,26
2016-10-18 00:14:19,26
2016-10-18 00:14:29,26
2016-10-18 00:14:39,26
2016-10-18 00:14:49,26
2016-10-18 00:14:59,26
2016-10-18 00:15:09,26
2016-10-18 00:15:19,26
2016-10-18 00:15:29,25
2016-10-18 00:15:39,26
2016-10-18 00:15:49,26
2016-10-18 00:15:59,26
2016-10-18 00:16:09,26
2016-10-18 00:16:19,25
2016-10-18 00:16:29,26
2016-10-18 00:16:39,26
2016-10-18 00:16:49,26
2016-10-18 00:16:59,26
2016-10-18 00:17:10,26
2016-10-18 00:17:19,25
2016-10-18 00:17:30,26
2016-10-18 00:17:39,26
2016-10-18 00:17:50,26
2016-10-18 00:17:59,26
2016-10-18 00:18:10,26
2016-10-18 00:18:19,26
2016-10-18 00:18:30,26
2016-10-18 00:18:39,26
2016-10-18 00:18:50,26
2016-10-18 00:18:59,26
2016-10-18 00:19:10,26
2016-10-18 00:19:19,26
2016-10-18 00:19:30,26
2016-10-18 00:19:39,26
2016-10-18 00:19:50,26
2016-10-18 00:19:59,26
2016-10-18 00:20:10,26
2016-10-18 00:20:19,26
2016-10-18 00:20:30,26
2016-10-18 00:20:39,26
2016-10-18 00:20:50,26
2016-10-18 00:21:00,26
2016-10-18 00:21:10,26
2016-10-18 00:21:20,26
2016-10-18 00:21:30,26
2016-10-18 00:21:40,26
2016-10-18 00:21:50,26
2016-10-18 00:22:00,26
2016-10-18 00:22:10,26
2016-10-18 00:22:20,26
2016-10-18 00:22:30,26
2016-10-18 00:22:40,27
2016-10-18 00:22:50,26
2016-10-18 00:23:00,26
