time_stamp,value_int
2016-10-16 22:40:45,25
2016-10-16 22:40:50,25
2016-10-16 22:40:55,26
2016-10-16 22:41:00,25
2016-10-16 22:41:05,25
2016-10-16 22:41:10,25
2016-10-16 22:41:15,25
2016-10-16 22:41:20,26
2016-10-16 22:41:25,25
2016-10-16 22:41:30,26
2016-10-16 22:41:35,25
2016-10-16 22:41:40,26
2016-10-16 22:41:45,25
2016-10-16 22:41:50,25
2016-10-16 22:41:55,26
2016-10-16 22:42:00,25
2016-10-16 22:42:05,26
2016-10-16 22:42:10,25
2016-10-16 22:42:15,26
2016-10-16 22:42:20,25
2016-10-16 22:42:25,26
2016-10-16 23:09:41,17
2016-10-16 23:09:46,24
2016-10-16 23:09:51,25
2016-10-16 23:09:56,26
2016-10-16 23:10:01,25
2016-10-16 23:10:06,25
2016-10-16 23:10:11,25
2016-10-16 23:10:16,25
2016-10-16 23:10:21,25
2016-10-16 23:10:26,26
2016-10-16 23:15:22,17
2016-10-16 23:15:27,25
2016-10-16 23:15:32,25
2016-10-16 23:15:37,25
2016-10-16 23:15:42,25
2016-10-16 23:15:47,25
2016-10-16 23:15:52,25
2016-10-16 23:15:57,25
2016-10-16 23:16:02,25
2016-10-16 23:16:07,25
2016-10-16 23:16:12,25
2016-10-16 23:17:12,18
2016-10-16 23:17:17,25
2016-10-16 23:17:22,26
2016-10-16 23:17:27,25
2016-10-16 23:17:32,25
2016-10-16 23:17:37,25
2016-10-16 23:17:42,25
2016-10-16 23:17:47,25
2016-10-16 23:17:52,25
2016-10-16 23:17:57,25
2016-10-16 23:18:02,25
2016-10-16 23:18:07,25
2016-10-16 23:38:24,25
2016-10-16 23:38:29,25
2016-10-16 23:38:34,26
2016-10-16 23:38:39,26
2016-10-16 23:38:44,25
2016-10-16 23:38:49,25
2016-10-16 23:38:54,26
2016-10-16 23:38:59,26
2016-10-16 23:39:04,26
2016-10-16 23:39:09,25
2016-10-16 23:39:14,25
2016-10-16 23:39:19,25
2016-10-16 23:39:24,26
2016-10-16 23:39:29,26
2016-10-16 23:39:34,25
2016-10-16 23:39:39,25
2016-10-16 23:39:44,25
2016-10-16 23:39:49,26
2016-10-16 23:39:54,25
2016-10-16 23:53:58,17
2016-10-16 23:54:03,25
2016-10-16 23:54:08,25
2016-10-17 00:13:02,17
2016-10-17 00:13:07,25
2016-10-17 00:13:12,25
2016-10-17 00:13:17,25
2016-10-17 00:14:08,17
2016-10-17 00:14:13,25
2016-10-17 00:14:18,25
2016-10-17 00:14:23,25
2016-10-17 00:14:28,25
2016-10-17 00:18:27,18
2016-10-17 00:18:32,25
2016-10-17 00:18:37,24
2016-10-17 00:19:29,17
2016-10-17 00:19:34,25
2016-10-17 00:19:39,26
2016-10-17 00:19:44,25
2016-10-17 00:19:49,25
2016-10-17 00:19:54,25
2016-10-17 00:19:59,25
2016-10-17 00:35:24,26
2016-10-17 00:35:29,26
2016-10-17 00:35:34,26
2016-10-17 00:35:39,26
2016-10-17 00:35:44,26
2016-10-17 00:35:49,26
2016-10-17 00:35:54,26
2016-10-17 00:35:59,26
2016-10-17 00:36:04,26
2016-10-17 00:36:09,26
2016-10-17 00:36:14,26
2016-10-17 00:36:19,26
2016-10-17 00:36:24,26
2016-10-17 00:36:29,26
2016-10-17 00:36:34,26
2016-10-17 00:36:39,26
2016-10-17 00:36:44,26
2016-10-17 00:36:49,26
2016-10-17 00:36:54,26
2016-10-17 00:36:59,26
2016-10-17 00:37:04,26
2016-10-17 00:37:09,26
2016-10-17 00:37:14,26
2016-10-17 00:37:19,26
2016-10-17 00:37:24,26
2016-10-17 00:37:29,26
2016-10-17 00:37:34,26
2016-10-17 00:37:39,26
2016-10-17 00:37:44,26
2016-10-17 00:37:49,26
2016-10-17 00:37:54,26
2016-10-17 00:37:59,26
2016-10-17 00:38:04,26
2016-10-17 00:38:09,26
2016-10-17 00:38:14,26
2016-10-17 00:38:19,26
2016-10-17 00:38:24,26
2016-10-17 00:38:29,25
2016-10-17 00:38:34,26
2016-10-17 00:38:39,26
2016-10-17 00:38:44,26
2016-10-17 00:38:49,26
2016-10-17 00:38:54,26
2016-10-17 00:38:59,26
2016-10-17 00:39:04,25
2016-10-17 00:39:09,26
2016-10-17 00:39:14,26
2016-10-17 00:39:19,26
2016-10-17 00:39:24,26
2016-10-17 00:39:29,26
2016-10-17 00:39:34,25
2016-10-17 00:39:39,26
2016-10-17 00:39:44,27
2016-10-17 00:39:49,26
2016-10-17 00:39:54,26
2016-10-17 00:39:59,25
2016-10-17 00:40:04,26
2016-10-17 00:40:09,26
2016-10-17 00:40:14,26
2016-10-17 00:40:19,26
2016-10-17 00:40:24,26
2016-10-17 00:40:29,26
2016-10-17 00:40:34,26
2016-10-17 00:40:39,26
2016-10-17 00:40:44,26
2016-10-17 00:40:49,26
2016-10-17 00:40:54,26
2016-10-17 00:40:59,26
2016-10-17 00:41:04,26
2016-10-17 00:41:09,26
2016-10-17 00:41:14,26
2016-10-17 00:41:19,26
2016-10-17 00:41:24,26
2016-10-17 00:41:29,26
2016-10-17 00:41:34,25
2016-10-17 00:41:39,26
2016-10-17 00:41:44,26
2016-10-17 00:41:49,26
2016-10-17 00:41:54,26
2016-10-17 00:48:33,18
2016-10-17 00:48:43,26
2016-10-17 00:48:53,26
2016-10-17 00:49:03,26
2016-10-17 00:49:13,26
2016-10-17 00:49:23,26
2016-10-17 00:49:33,25
2016-10-17 00:49:43,26
2016-10-17 00:49:53,26
2016-10-17 00:50:03,26
2016-10-17 00:50:13,26
2016-10-17 00:50:23,26
2016-10-17 00:50:33,26
2016-10-17 00:50:43,26
2016-10-17 00:50:53,26
2016-10-17 00:51:03,25
2016-10-17 00:51:13,26
2016-10-17 00:51:23,26
2016-10-17 00:51:33,26
2016-10-17 00:51:43,26
2016-10-17 00:51:53,26
2016-10-17 00:52:03,26
2016-10-17 00:52:13,26
2016-10-17 00:52:23,27
2016-10-17 00:52:33,26
2016-10-17 00:52:43,26
2016-10-17 00:52:53,26
2016-10-17 00:53:03,26
2016-10-17 00:53:13,25
2016-10-17 00:53:23,26
2016-10-17 00:53:33,26
2016-10-17 00:53:43,26
2016-10-17 00:53:53,26
2016-10-17 00:54:03,25
2016-10-17 00:54:13,26
2016-10-17 00:54:23,26
2016-10-17 00:54:33,25
2016-10-17 00:54:43,26
2016-10-17 00:54:53,27
2016-10-17 00:55:03,26
2016-10-17 00:55:13,26
2016-10-17 00:55:23,26
2016-10-17 00:55:33,26
